iata_code,name,active
DN,Voronezhskie Airlanes,N
DN,Alinord,N
DO,Dominicana de Aviaci,Y
DP,First Choice Airways,Y
DQ,Coastal Air,Y
DR,Air Mediterranee,Y
DS,EasyJet (DS),Y
DT,TAAG Angola Airlines,Y
DU,Norwegian Long Haul AS,Y
DU,Hemus Air,N
DV,Lufttaxi Fluggesellschaft,N
DV,Nantucket Airlines,N
DV,Scat Air,Y
DW,Aero-Charter Ukraine,N
DW,Deutsche Luftverkehrsgesellschaft,N
DW,Deutsche Luftverkehrsgesellschaft (DLT),N
DX,DAT Danish Air Transport,Y
DY,Norwegian Air Shuttle,Y
DZ,Starline.kz,Y
E0,Eos Airlines,N
E1,Usa Sky Cargo,Y
E2,Rio Grande Air,N
E2,Kampuchea Airlines,N
E2,Eagle Atlantic Airlines,Y
E3,Domodedovo Airlines,Y
E4,Elysian Airlines,Y
E4,Aero Asia International,N
E5,Air Arabia Egypt,Y
E5,Samara Airlines,N
E6,Bringer Air Cargo Taxi Aereo,N
E6,Aviaexpresscruise,N
E7,Estafeta Carga Aerea,N
E7,European Aviation Air Charter,N
E8,Alpi Eagles,N
E8,US Africa Airways,N
E8,Alpi Eagles (E8),N
E8,City Airways,Y
E9,Compagnie Africaine d\\'Aviation,Y
E9,Boston-Maine Airways,N
E9,AJT Air International,N
EA,European Air Express,Y
EC,Avialeasing Aviation Company,Y
ED,Airblue,Y
EE,Nordica,Y
EE,Aero Airlines,N
EF,Far Eastern Air Transport,Y
EG,Japan Asia Airways,Y
EH,SAETA,N
EH,Euro Harmony,N
EH,Air Nippon Network Co. Ltd.,N
EI,Aer Lingus,Y
EJ,New England Airlines,Y
EK,Emirates,Y
EL,Air Nippon,Y
EM,Aero Benin,Y
EM,Empire Airlines,N
EN,Air Dolomiti,Y
EO,Express One International,Y
EO,Hewa Bora Airways,N
EP,Iran Aseman Airlines,Y
EQ,TAME,Y
ER,Fly Europa,Y
ER,Astar Air Cargo,N
ES,DHL International,N
ES,EuropeSky,Y
ET,Ethiopian Airlines,Y
EU,Empresa Ecuatoriana De Aviacion,Y
EV,Atlantic Southeast Airlines,Y
EW,Eurowings,Y
EX,Wings of England,N
EX,Air Santo Domingo,N
EX,Europe Jet,Y
EY,Etihad Airways,Y
EZ,Sun Air of Scandinavia,N
EZ,Evergreen International Airlines,Y
F1,Fly Brasil,Y
F2,Fly Air,N
F3,Faso Airways,N
F4,Albarka Air,N
F4,International Flying Service,N
F5,Global Freightways,N
F5,Cosmic Air,N
F5,Fly One,Y
F6,Faroejet,N
F7,Flybaboo,Y
F8,Air2there,Y
F9,Frontier Airlines,Y
FA,Epic Holiday,Y
FA,Safair,N
FB,Bulgaria Air,Y
FC,Finncomm Airlines,Y
FD,Thai AirAsia,Y
FE,Primaris Airlines,N
FF,Fly France,Y
FF,Airshop,N
FF,Tower Air,N
FG,Ariana Afghan Airlines,Y
FH,Futura International Airways,N
FH,FlyHigh Airlines Ireland (FH),Y
FI,Icelandair,Y
FJ,Air Pacific,Y
FK,Africa West,Y
FL,AirTran Airways,Y
FM,Shanghai Airlines,Y
FN,Regional Airlines,Y
FO,Airlines Of Tasmania,Y
FP,Freedom Air,Y
FQ,Thomas Cook Airlines,Y
FR,Ryanair,Y
FS,Servicios de Transportes A,Y
FT,Siem Reap Airways,Y
FU,Felix Airways,Y
FV,Rossiya-Russian Airlines,Y
FW,Ibex Airlines,Y
FX,Federal Express,N
FX,FOX Linhas Aereas,Y
FY,Firefly,Y
FY,Northwest Regional Airlines,N
FZ,Fly Dubai,Y
G0,Ghana International Airlines,Y
G1,Gorkha Airlines,N
G1,Indya Airline Group,Y
G2,Avirex,N
G3,City Connexion Airlines,Y
G3,Sky Express,Y
G3,Gol Transportes Aéreos,Y
G4,Allegiant Air,Y
G5,Huaxia,Y
G6,Guine Bissaur Airlines,N
G6,Air Volga,Y
G7,GoJet Airlines,Y
G7,Gandalf Airlines,N
G8,Gujarat Airways,N
G8,Enkor JSC,N
G8,Air Service Gabon,N
G8,Go Air,Y
G9,Air Arabia,Y
GA,Garuda Indonesia,Y
GB,Airborne Express,N
GB,ABX Air,N
GB,BRAZIL AIR,Y
GC,Gambia International Airlines,N
